PSO: Number Of Paritcles = 20| Epchos = 1000
WL	desNode	path	new_Workload	timeCompute	timeTrans	timeServ	curr_Workload	reqID	

500 	 W6 	 W6 	 57.773238165847076 	 1.9065168594729536 	 0.0 	1.9065168594729536	0.0	1
500 	 W1 	 W6 	 24.597551888983947 	 0.8117192123364703 	 0.09839020755593579 	0.910109419892406	0.0	1
500 	 W5 	 W6 	 27.68718832680439 	 0.9136772147845449 	 0.11074875330721755 	1.0244259680917625	0.0	1
500 	 W7 	 W6 	 76.85952793881002 	 2.572568854259261 	 0.30743811175524005 	2.880006966014501	0.0	1
500 	 W11 	 W6 	 10.26209558517429 	 0.8657689184382351 	 0.04104838234069716 	0.9068173007789323	0.0	1
500 	 W0 	 W1 	 95.73867692707944 	 5.1920876680911885 	 0.7659094154166355 	5.9579970835078235	0.0	1
500 	 W2 	 W1 	 21.555421103753364 	 3.2288611669932363 	 0.17244336883002692 	3.401304535823263	0.0	1
500 	 W0 	 W5 	 61.597313015077766 	 5.1920876680911885 	 0.49277850412062213 	5.684866172211811	0.0	1
500 	 W10 	 W5 	 12.913409473885189 	 2.525329360614422 	 0.10330727579108151 	2.6286366364055036	0.0	1
500 	 W2 	 W7 	 54.884800163528595 	 3.2288611669932363 	 0.4390784013082288 	3.667939568301465	0.0	1
500 	 W8 	 W7 	 34.59773310673718 	 8.042240127021456 	 0.27678186485389744 	8.319021991875353	0.0	1
500 	 W10 	 W11 	 21.533044302956068 	 2.525329360614422 	 0.17226435442364854 	2.6975937150380704	0.0	1
500 	 W16 	 W11 	 4.058351273594047E-11 	 2.191284314480099 	 3.246681018875238E-13 	2.1912843144804235	0.0	1
500 	 W12 	 W12 	 76.30368607834282 	 2.5180216405853133 	 0.0 	2.5180216405853133	0.0	2
500 	 W7 	 W12 	 1.0971040084403132 	 2.572568854259261 	 0.0043884160337612525 	2.5769572702930224	0.0	2
500 	 W11 	 W12 	 15.973326185681318 	 0.8657689184382351 	 0.06389330474272527 	0.9296622231809604	0.0	2
500 	 W13 	 W12 	 76.89938055878132 	 3.5735986125490236 	 0.30759752223512526 	3.881196134784149	0.0	2
500 	 W17 	 W12 	 72.23652795522369 	 4.36634725315572 	 0.28894611182089475 	4.655293364976615	0.0	2
500 	 W2 	 W7 	 21.404056520391865 	 3.2288611669932363 	 0.17123245216313493 	3.400093619156371	0.0	2
500 	 W8 	 W7 	 81.94686211032291 	 8.042240127021456 	 0.6555748968825833 	8.69781502390404	0.0	2
500 	 W10 	 W11 	 42.07867836298971 	 2.525329360614422 	 0.33662942690391773 	2.86195878751834	0.0	2
500 	 W16 	 W11 	 49.042628884646135 	 2.191284314480099 	 0.39234103107716906 	2.5836253455572677	0.0	2
500 	 W8 	 W13 	 38.61004259482664 	 8.042240127021456 	 0.3088803407586131 	8.351120467780069	0.0	2
500 	 W14 	 W13 	 11.561564660410076 	 5.297080985466679 	 0.0924925172832806 	5.389573502749959	0.0	2
500 	 W16 	 W17 	 0.14160069816695717 	 2.191284314480099 	 0.0011328055853356573 	2.1924171200654343	0.0	2
500 	 W22 	 W17 	 12.704541380230939 	 7.3171625247117635 	 0.10163633104184751 	7.418798855753611	0.0	2
500 	 W18 	 W18 	 42.53031519921573 	 1.403500401574119 	 0.0 	1.403500401574119	0.0	3
500 	 W13 	 W18 	 31.391486488158794 	 3.5735986125490236 	 0.12556594595263518 	3.699164558501659	0.0	3
500 	 W17 	 W18 	 60.07702517070719 	 4.36634725315572 	 0.24030810068282876 	4.606655353838549	0.0	3
500 	 W19 	 W18 	 84.01987711163761 	 6.05532382056888 	 0.33607950844655043 	6.39140332901543	0.0	3
500 	 W23 	 W18 	 37.78198675973797 	 2.354076321576768 	 0.15112794703895188 	2.50520426861572	0.0	3
500 	 W8 	 W13 	 88.5496084614907 	 8.042240127021458 	 0.7083968676919257 	8.750636994713384	0.0	3
500 	 W14 	 W13 	 37.35077455047568 	 5.297080985466679 	 0.2988061964038054 	5.595887181870484	0.0	3
500 	 W16 	 W17 	 17.21832540139174 	 2.1912843144800993 	 0.13774660321113394 	2.329030917691233	0.0	3
500 	 W22 	 W17 	 43.680009849108544 	 7.3171625247117635 	 0.34944007879286837 	7.666602603504632	0.0	3
500 	 W14 	 W19 	 26.745506477575276 	 5.29708098546668 	 0.2139640518206022 	5.511045037287282	0.0	3
500 	 W22 	 W23 	 30.655084531611177 	 7.3171625247117635 	 0.24524067625288942 	7.562403200964653	0.0	3
500 	 W24 	 W24 	 147.41923464773504 	 4.864834743375257 	 0.0 	4.864834743375257	0.0	4
500 	 W19 	 W24 	 99.47478411772238 	 6.05532382056888 	 0.39789913647088954 	6.4532229570397694	0.0	4
500 	 W23 	 W24 	 33.55365934864894 	 2.354076321576768 	 0.13421463739459577 	2.4882909589713638	0.0	4
500 	 W14 	 W19 	 84.85975993174137 	 5.29708098546668 	 0.678878079453931 	5.975959064920611	0.0	4
500 	 W22 	 W23 	 134.69256195758763 	 7.3171625247117635 	 1.077540495660701 	8.394703020372464	0.0	4
